SRA_Accession
SRR2134682
SRR2927309
SRR34873886
SRR34873887
SRR34873888
SRR34873889
SRR34873890
SRR34873891
SRR34873892
SRR34873893
SRR34873894
SRR34873895
SRR34873896
SRR34873897
SRR34873898
SRR34873899
SRR34873900
SRR34873901
SRR34873902
SRR34873903
SRR34873905
SRR34873906
SRR34873907
SRR34873908
SRR34873909
SRR34873910
SRR34873911
SRR34873912
SRR34873913
SRR34873914
SRR34873915
SRR34873916
SRR1177285
SRR1177331
SRR1177360
SRR1177315
SRR1177356
SRR1177324
SRR1177369
SRR1177316
SRR1177335
SRR1177265
SRR1177339
SRR1181525
SRR1181530
SRR1181526
SRR1181520
SRR1181528
SRR1181531
SRR1181532
SRR1181529
SRR1181521
SRR1181546
SRR1181566
SRR1181559
SRR1181551
SRR1181547
SRR1181564
SRR1181560
SRR1185785
SRR1185819
SRR1185790
SRR1185855
SRR1185828
SRR1185791
SRR1185810
SRR1185804
SRR1185820
SRR1185781
SRR1185842
SRR1185856
SRR1185798
SRR1185859
SRR1185839
SRR1185792
SRR1195625
SRR1195631
SRR1195641
SRR1195626
SRR1195649
SRR1195642
SRR1195634
SRR1195643
SRR1195644
SRR1195655
SRR1195659
SRR1195663
SRR1195666
SRR1195667
SRR1195671
SRR1195672
SRR1198905
SRR1198922
SRR1198909
SRR1198883
SRR1198889
SRR1198890
SRR1198898
SRR1198875
SRR1198930
SRR1198931
SRR1198942
SRR1198961
SRR1198972
SRR1198932
SRR1198956
SRR1198962
SRR1200764
SRR1200765
SRR1200752
SRR1200753
SRR1200766
SRR1200761
SRR1200762
SRR1200757
SRR1200758
SRR1200754
SRR1200747
SRR1200748
SRR1200749
SRR1200767
SRR1200759
SRR1200760
SRR1202993
SRR1202996
SRR1202982
SRR1202983
SRR1203000
SRR1203013
SRR1203028
SRR1203034
SRR1202997
SRR1203044
SRR1203017
SRR1203018
SRR1203019
SRR1203020
SRR1202988
SRR1203014
SRR1220811
SRR1220770
SRR1220713
SRR1220744
SRR1220721
SRR1220702
SRR1220705
SRR1220800
SRR1220731
SRR1220706
SRR1220745
SRR1220782
